id,title,type,genres,averageRating,numVotes,releaseYear,idjw
tt1877832,X-Men: Days of Future Past,movie,"Action, Adventure, Sci-Fi",7.9,770283.0,2014.0,tm155402
tt2024544,12 Years a Slave,movie,"Biography, Drama, History",8.1,764787.0,2013.0,tm188852
tt1045658,Silver Linings Playbook,movie,"Comedy, Drama, Romance",7.7,759577.0,2012.0,tm59428
tt5052448,Get Out,movie,"Horror, Mystery, Thriller",7.8,759459.0,2017.0,tm266704
tt0113277,Heat,movie,"Action, Crime, Drama",8.3,758193.0,1995.0,tm11005
tt2250912,Spider-Man: Homecoming,movie,"Action, Adventure, Sci-Fi",7.4,757661.0,2017.0,tm422
tt0116282,Fargo,movie,"Crime, Drama, Thriller",8.1,756549.0,1996.0,tm106648
tt0062622,2001: A Space Odyssey,movie,"Adventure, Sci-Fi",8.3,753650.0,1968.0,tm362
tt0816711,World War Z,movie,"Action, Adventure, Horror",7.0,752752.0,2013.0,tm179734
tt0054215,Psycho,movie,"Drama, Horror, Mystery",8.5,752716.0,1960.0,tm47802
tt2802144,Kingsman: The Secret Service,movie,"Action, Adventure, Comedy",7.7,752634.0,2014.0,tm132771
tt1981115,Thor: The Dark World,movie,"Action, Adventure, Fantasy",6.7,752006.0,2013.0,tm179159
tt0478970,Ant-Man,movie,"Action, Comedy, Sci-Fi",7.2,751259.0,2015.0,tm141020
tt1074638,Skyfall,movie,"Action, Adventure, Thriller",7.8,750850.0,2012.0,tm72846
tt0117951,Trainspotting,movie,Drama,8.1,749522.0,1996.0,tm113248
tt1951264,The Hunger Games: Catching Fire,movie,"Action, Adventure, Sci-Fi",7.5,748081.0,2013.0,tm165518
tt0316654,Spider-Man 2,movie,"Action, Adventure, Sci-Fi",7.5,746966.0,2004.0,tm79988
tt1270798,X-Men: First Class,movie,"Action, Sci-Fi",7.7,746649.0,2011.0,tm165634
tt0405159,Million Dollar Baby,movie,"Drama, Sport",8.1,746394.0,2004.0,tm84441
tt0078788,Apocalypse Now,movie,"Drama, Mystery, War",8.4,742307.0,1979.0,tm1268161
tt1386697,Suicide Squad,movie,"Action, Adventure, Fantasy",5.9,741205.0,2016.0,tm122844
tt1670345,Now You See Me,movie,"Crime, Mystery, Thriller",7.2,738145.0,2013.0,tm184546
tt0780504,Drive,movie,"Action, Drama",7.8,736221.0,2011.0,tm166168
tt1136608,District 9,movie,"Action, Sci-Fi, Thriller",7.9,735687.0,2009.0,tm136410
tt0948470,The Amazing Spider-Man,movie,"Action, Sci-Fi",6.9,733592.0,2012.0,tm44730
tt1170358,The Hobbit: The Desolation of Smaug,movie,"Adventure, Fantasy",7.8,731946.0,2013.0,tm171483
tt4633694,Spider-Man: Into the Spider-Verse,movie,"Action, Adventure, Animation",8.4,731047.0,2018.0,tm222003
tt0304141,Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",7.9,729483.0,2004.0,tm86278
tt0295297,Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",7.4,729453.0,2002.0,tm109994
tt8579674,1917,movie,"Action, Drama, War",8.2,728099.0,2019.0,tm420155
tt0457430,Pan's Labyrinth,movie,"Drama, Fantasy, War",8.2,724950.0,2006.0,tm30521
tt0421715,The Curious Case of Benjamin Button,movie,"Drama, Fantasy, Romance",7.8,721664.0,2008.0,tm52046
tt1504320,The King's Speech,movie,"Biography, Drama, History",8.0,721561.0,2010.0,tm92034
tt0451279,Wonder Woman,movie,"Action, Adventure, Fantasy",7.3,720040.0,2017.0,tm11937
tt0449088,Pirates of the Caribbean: At World's End,movie,"Action, Adventure, Fantasy",7.1,719487.0,2007.0,tm84873
tt3783958,La La Land,movie,"Comedy, Drama, Music",8.0,719207.0,2016.0,tm143617
tt3748528,Rogue One: A Star Wars Story,movie,"Action, Adventure, Sci-Fi",7.8,718732.0,2016.0,tm202481
tt0381061,Casino Royale,movie,"Action, Adventure, Thriller",8.0,717898.0,2006.0,tm39030
tt0330373,Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",7.7,717574.0,2005.0,tm178628
tt0107048,Groundhog Day,movie,"Comedy, Drama, Fantasy",8.0,716497.0,1993.0,tm182885
tt1856101,Blade Runner 2049,movie,"Action, Drama, Mystery",8.0,713675.0,2017.0,tm239091
tt5463162,Deadpool 2,movie,"Action, Adventure, Comedy",7.6,713031.0,2018.0,tm239698
tt0369610,Jurassic World,movie,"Action, Adventure, Sci-Fi",6.9,702103.0,2015.0,tm142876
tt1798709,Her,movie,"Drama, Romance, Sci-Fi",8.0,701794.0,2013.0,tm169422
tt0418279,Transformers,movie,"Action, Adventure, Sci-Fi",7.1,697207.0,2007.0,tm74317
tt0099785,Home Alone,movie,"Comedy, Family",7.7,696295.0,1990.0,tm155184
tt2527336,Star Wars: Episode VIII - The Last Jedi,movie,"Action, Adventure, Fantasy",6.9,695384.0,2017.0,tm8
tt0073195,Jaws,movie,"Adventure, Drama, Horror",8.1,694559.0,1975.0,tm123933
tt3460252,The Hateful Eight,movie,"Crime, Drama, Mystery",7.8,692056.0,2015.0,tm138905
tt0988045,Sherlock Holmes,movie,"Action, Adventure, Mystery",7.6,690518.0,2009.0,tm154187
tt2294629,Frozen,movie,"Adventure, Animation, Comedy",7.4,688647.0,2013.0,tm181359
tt0454876,Life of Pi,movie,"Adventure, Drama, Fantasy",7.9,685186.0,2012.0,tm63441
tt1637725,Ted,movie,Comedy,6.9,684047.0,2012.0,tm31827
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),movie,"Comedy, Drama",7.7,682235.0,2014.0,tm151077
tt0758758,Into the Wild,movie,"Adventure, Biography, Drama",8.0,679412.0,2007.0,tm76066
tt0364569,Oldboy,movie,"Action, Drama, Mystery",8.3,679291.0,2003.0,tm136559
tt1446714,Prometheus,movie,"Adventure, Mystery, Sci-Fi",7.0,676661.0,2012.0,tm69294
tt0440963,The Bourne Ultimatum,movie,"Action, Mystery, Thriller",8.0,671473.0,2007.0,tm79442
tt0469494,There Will Be Blood,movie,Drama,8.2,671210.0,2007.0,tm76553
tt0413300,Spider-Man 3,movie,"Action, Adventure, Sci-Fi",6.3,669087.0,2007.0,tm83839
tt0373889,Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",7.5,666593.0,2007.0,tm85382
tt0162222,Cast Away,movie,"Adventure, Drama, Romance",7.8,665933.0,2000.0,tm21856
tt0114746,12 Monkeys,movie,"Mystery, Sci-Fi, Thriller",8.0,664217.0,1995.0,tm16142
tt0829482,Superbad,movie,Comedy,7.6,663907.0,2007.0,tm72529
tt0075148,Rocky,movie,"Drama, Sport",8.1,660111.0,1976.0,tm82169
tt0332280,The Notebook,movie,"Drama, Romance",7.8,655696.0,2004.0,tm89663
tt0936501,Taken,movie,"Action, Crime, Thriller",7.7,655404.0,2008.0,tm29815
tt0234215,The Matrix Reloaded,movie,"Action, Sci-Fi",7.2,652143.0,2003.0,tm11
tt3890160,Baby Driver,movie,"Action, Crime, Drama",7.5,651171.0,2017.0,tm219267
tt2380307,Coco,movie,"Adventure, Animation, Drama",8.4,650187.0,2017.0,tm220546
tt0240772,Ocean's Eleven,movie,"Crime, Thriller",7.7,646643.0,2001.0,tm38774
tt1156398,Zombieland,movie,"Action, Comedy, Horror",7.5,645534.0,2009.0,tm145203
tt0120363,Toy Story 2,movie,"Adventure, Animation, Comedy",7.9,645083.0,1999.0,tm40070
tt1396484,It,movie,Horror,7.3,644073.0,2017.0,tm244208
tt0119488,L.A. Confidential,movie,"Crime, Drama, Mystery",8.2,641224.0,1997.0,tm192099
tt11286314,Don't Look Up,movie,"Comedy, Drama, Sci-Fi",7.2,640211.0,2021.0,tm856378
tt2119532,Hacksaw Ridge,movie,"Biography, Drama, History",8.1,637503.0,2016.0,tm196552
tt4154664,Captain Marvel,movie,"Action, Adventure, Sci-Fi",6.8,637219.0,2019.0,tm570
tt2872718,Nightcrawler,movie,"Crime, Drama, Thriller",7.8,637098.0,2014.0,tm151663
tt6966692,Green Book,movie,"Biography, Comedy, Drama",8.2,635863.0,2018.0,tm404187
tt0443706,Zodiac,movie,"Crime, Drama, Mystery",7.7,635719.0,2007.0,tm76351
tt0120735,"Lock, Stock and Two Smoking Barrels",movie,"Comedy, Crime",8.1,635221.0,1998.0,tm66918
tt0926084,Harry Potter and the Deathly Hallows: Part 1,movie,"Adventure, Family, Fantasy",7.7,631343.0,2010.0,tm91787
tt0034583,Casablanca,movie,"Drama, Romance, War",8.5,631274.0,1942.0,tm77588
tt15239678,Dune: Part Two,movie,"Action, Adventure, Drama",8.5,630773.0,2024.0,tm1133934
tt6723592,Tenet,movie,"Action, Sci-Fi, Thriller",7.3,630063.0,2020.0,tm455670
tt1219289,Limitless,movie,"Sci-Fi, Thriller",7.4,629892.0,2011.0,tm161959
tt6644200,A Quiet Place,movie,"Drama, Horror, Sci-Fi",7.5,629153.0,2018.0,tm312979
tt0417741,Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",7.6,628210.0,2009.0,tm144798
tt0116629,Independence Day,movie,"Action, Adventure, Sci-Fi",7.0,626847.0,1996.0,tm111989
tt1232829,21 Jump Street,movie,"Action, Comedy, Crime",7.2,623280.0,2012.0,tm46613
tt1727824,Bohemian Rhapsody,movie,"Biography, Drama, Music",7.9,622803.0,2018.0,tm318913
tt1343092,The Great Gatsby,movie,"Drama, Romance",7.2,620816.0,2013.0,tm177242
tt0365748,Shaun of the Dead,movie,"Comedy, Horror",7.9,619159.0,2004.0,tm88828
tt0470752,Ex Machina,movie,"Drama, Sci-Fi, Thriller",7.7,617462.0,2014.0,tm139224
tt1276104,Looper,movie,"Action, Drama, Sci-Fi",7.4,617216.0,2012.0,tm50018
tt1323594,Despicable Me,movie,"Adventure, Animation, Comedy",7.6,610283.0,2010.0,tm90485
tt1250777,Kick-Ass,movie,"Action, Comedy, Crime",7.6,609209.0,2010.0,tm93845
tt1517268,Barbie,movie,"Adventure, Comedy, Fantasy",6.8,607737.0,2023.0,tm244331
tt0450259,Blood Diamond,movie,"Adventure, Drama, Thriller",8.0,607391.0,2006.0,tm32919
tt0181689,Minority Report,movie,"Action, Crime, Mystery",7.6,602597.0,2002.0,tm113842
tt0409459,Watchmen,movie,"Action, Drama, Mystery",7.6,598266.0,2009.0,tm145677
tt0096874,Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",7.8,597992.0,1989.0,tm135347
tt0290334,X2: X-Men United,movie,"Action, Sci-Fi, Thriller",7.4,597632.0,2003.0,tm136160
tt6320628,Spider-Man: Far from Home,movie,"Action, Adventure, Comedy",7.4,597315.0,2019.0,tm301071
tt2310332,The Hobbit: The Battle of the Five Armies,movie,"Adventure, Fantasy",7.4,596892.0,2014.0,tm158094
tt0343818,"I, Robot",movie,"Action, Mystery, Sci-Fi",7.1,596864.0,2004.0,tm92414
tt0258463,The Bourne Identity,movie,"Action, Mystery, Thriller",7.8,594917.0,2002.0,tm108160
tt0332452,Troy,movie,"Action, Adventure, Drama",7.3,593629.0,2004.0,tm95477
tt1318514,Rise of the Planet of the Apes,movie,"Action, Drama, Sci-Fi",7.6,592808.0,2011.0,tm176070
tt0112641,Casino,movie,"Crime, Drama",8.2,592609.0,1995.0,tm16195
tt1570728,"Crazy, Stupid, Love.",movie,"Comedy, Drama, Romance",7.4,592126.0,2011.0,tm166064
tt0454921,The Pursuit of Happyness,movie,"Biography, Drama",8.0,591781.0,2006.0,tm20959
tt0097165,Dead Poets Society,movie,"Comedy, Drama",8.1,591440.0,1989.0,tm134674
tt4972582,Split,movie,"Horror, Thriller",7.3,591210.0,2016.0,tm236706
tt1022603,500 Days of Summer,movie,"Comedy, Drama, Romance",7.6,590558.0,2009.0,tm2193
tt0071853,Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",8.2,587994.0,1975.0,tm127384
tt1298650,Pirates of the Caribbean: On Stranger Tides,movie,"Action, Adventure, Fantasy",6.6,586816.0,2011.0,tm173805
tt1457767,The Conjuring,movie,"Horror, Mystery, Thriller",7.5,584418.0,2013.0,tm160621
tt5027774,"Three Billboards Outside Ebbing, Missouri",movie,"Comedy, Crime, Drama",8.1,583099.0,2017.0,tm244171
tt6710474,Everything Everywhere All at Once,movie,"Action, Adventure, Comedy",7.8,580739.0,2022.0,tm1137671
tt2948356,Zootopia,movie,"Action, Adventure, Animation",8.0,579626.0,2016.0,tm122337
tt2713180,Fury,movie,"Action, Drama, War",7.6,578959.0,2014.0,tm157843
